SEX,FIRST NAME,NUMBER OF OCCURRENCES
GIRL,BECKETT,1
GIRL,BEIJA,1
GIRL,BELEN,5
GIRL,BELICIA,1
GIRL,BELINDA,2
GIRL,BELKY,1
GIRL,BELLA,23
GIRL,BELLAMY,2
GIRL,BELLE,2
GIRL,BENITA,1
GIRL,BENNETT,2
GIRL,BENTLEY,2
GIRL,BENTLEY-ROSE,1
GIRL,BERKELEY,1
GIRL,BERKLEY,1
GIRL,BERLIN,1
GIRL,BERLYNN,1
GIRL,BERNADETTE,1
GIRL,BERNICE,1
GIRL,BETHANEE,1
GIRL,BETHANY,4
GIRL,BETHEL,1
GIRL,BETSELOT,1
GIRL,BETTY,1
GIRL,BETZAIDA,1
GIRL,BEVERLY,2
GIRL,BEXLEY,1
GIRL,BHAKTI,1
GIRL,BHUVI,1
GIRL,BIANCA,2
GIRL,BIBIANNA,1
GIRL,BILGE,1
GIRL,BILLIE,2
GIRL,BILLY'E,1
GIRL,BIRDIE,2
GIRL,BIURLYN,1
GIRL,BLAINE,1
GIRL,BLAIR,5
GIRL,BLAKE,12
GIRL,BLAKELEE,1
GIRL,BLAKELY,5
GIRL,BLANCA,1
GIRL,BLAYNE,1
GIRL,BLUE JAY,1
GIRL,BODHI,2
GIRL,BONNIE,4
GIRL,BONNIE-CLAIRE,1
GIRL,BOWIE,2
GIRL,BRADIE,1
GIRL,BRAYLIE,1
GIRL,BREA,1
GIRL,BREANNA,1
GIRL,BRE'LAH,1
GIRL,BRENNA,1
GIRL,BRIA,1
GIRL,BRIAH,1
GIRL,BRIANA,7
GIRL,BRIANNA,11
GIRL,BRI'ANNE,1
GIRL,BRIAR,2
GIRL,BRI'AYRA,1
GIRL,BRICEYDA,1
GIRL,BRICIA,1
GIRL,BRIDGET,4
GIRL,BRIELLA,4
GIRL,BRI'ELLA,1
GIRL,BRIELLE,7
GIRL,BRIGITTE,1
GIRL,BRIM,1
GIRL,BRINLEE,1
GIRL,BRINLEY,3
GIRL,BRISA,4
GIRL,BRISSA,1
GIRL,BRISTOL,1
GIRL,BRISYN,1
GIRL,BRITTANY,2
GIRL,BRITTNEY,1
GIRL,BRONTE,1
GIRL,BROOKE,8
GIRL,BROOKELEE,1
GIRL,BROOKLYN,23
GIRL,BROOKLYNN,1
GIRL,BRYAN,1
GIRL,BRYANA,2
GIRL,BRYANNA,1
GIRL,BRYCLYN,1
GIRL,BRYLEE,2
GIRL,BRYLEIGH,1
GIRL,BRYN,2
GIRL,BRYNLEE,3
GIRL,BRYNLEIGH,1
GIRL,BRYNN,5
GIRL,BRYNNE,1
GIRL,CADEAU,1
GIRL,CADENCE,5
GIRL,CA'HLANI,1
GIRL,CAIAH,1
GIRL,CAIJHA,1
GIRL,CAILEY,1
GIRL,CAIRA,1
GIRL,CAITLYN,1
GIRL,CALDER,1
GIRL,CALI,1
GIRL,CALIANA,1
GIRL,CALIANNA,1
GIRL,CALINA,2
GIRL,CALISTA,1
GIRL,CA'LIYAH,1
GIRL,CALLA,2
GIRL,CALLIE,4
GIRL,CALLIOPE,4
GIRL,CAMARII,1
GIRL,CAMBRIA,1
GIRL,CAMBRIE,1
GIRL,CAMDYN,1
GIRL,CAMELA,1
GIRL,CAMELLA,1
GIRL,CAMERON,4
GIRL,CAMI,1
GIRL,CAMILA,56
GIRL,CAMILAH,1
GIRL,CAMILLA,10
GIRL,CAMILLE,5
GIRL,CAMLYN,1
GIRL,CAMPBELL,3
GIRL,CAMRYN,5
GIRL,CANDACE,1
GIRL,CAPRI,1
GIRL,CARISSA,1
GIRL,CARLEIONA,1
GIRL,CARLENE,1
GIRL,CARLY,1
GIRL,CARLY JUNE,1
GIRL,CARMANI,1
GIRL,CARMEN,5
GIRL,CAROL,1
GIRL,CAROLINA,5
GIRL,CAROLINA ANGELA,1
GIRL,CAROLINE,23
GIRL,CAROLYN,1
GIRL,CARRIE,1
GIRL,CARSON,3
GIRL,CARTER,2
GIRL,CARYS,1
GIRL,CASANDRA,2
GIRL,CASEY,2
GIRL,CASIE,1
GIRL,CASSANDRA,2
GIRL,CASSIA,2
GIRL,CASSIDY,2
GIRL,CASSIE,2
GIRL,CASSINIA,1
GIRL,CATALEYA,1
GIRL,CATALINA,14
GIRL,CATELYN,1
GIRL,CATHERINE,5
GIRL,CATIE,1
GIRL,CATTLEYA,1
GIRL,CAYLANI,1
GIRL,CAYLEE,1
GIRL,CAYLEIGH,1
GIRL,CE'ANNA,1
GIRL,CECELIA,3
GIRL,CECILIA,19
GIRL,CECILY,1
GIRL,CEIBA,1
GIRL,CEILI,1
GIRL,CELESTE,3
GIRL,CELINA,1
GIRL,CELINE,2
GIRL,CERSEI,1
GIRL,CESIA,3
GIRL,CEYDA,1
GIRL,CHAARUVI,1
GIRL,CHAMYLE,1
GIRL,CHANDLER,1
GIRL,CHANEL,2
GIRL,CHARIS,1
GIRL,CHARISSA,1
GIRL,CHARLEE,2
GIRL,CHARLEIGH,1
GIRL,CHARLES,1
GIRL,CHARLEY,5
GIRL,CHARLIE,15
GIRL,CHARLIRAE,1
GIRL,CHARLISA,1
GIRL,CHARLIZE,1
GIRL,CHARLOTTE,59
GIRL,CHARVI,1
GIRL,CHASITY,1
GIRL,CHAYLEE,1
GIRL,CHELSEA,1
GIRL,CHELSEE,1
GIRL,CHERISH,1
GIRL,CHE'RIYAH,1
GIRL,CHEYENNE,5
GIRL,CHIAGOZIE,1
GIRL,CHIAMARA,1
GIRL,CHIKAODILI,1
GIRL,CHLOE,35
GIRL,CHLOE',1
GIRL,CHLOE DANIELLA,1
GIRL,CHRISTAL,1
GIRL,CHRISTALYNN,1
GIRL,CHRISTI,1
GIRL,CHRISTIAN,1
GIRL,CHRISTINA,4
GIRL,CHRISTINE,4
GIRL,CHRISTY,1
GIRL,CHRISTYNNA,1
GIRL,CHRYSTAL,1
GIRL,CHYNNA,1
GIRL,CIELO,1
GIRL,CIENNA,1
GIRL,CINDY,1
GIRL,CING,1
GIRL,CINTHIA,1
GIRL,CINTHYA,1
GIRL,CIPIANA,1
GIRL,CITLALIC,1
GIRL,CITLALLI,1
GIRL,CITLALY,1
GIRL,CLAIRE,36
GIRL,CLARA,27
GIRL,CLARE,2
GIRL,CLARETTA,1
GIRL,CLARISA,1
GIRL,CLARISSA,1
GIRL,CLARITA,1
GIRL,CLARK,1
GIRL,CLARKE,1
GIRL,CLAUDIA,3
GIRL,CLAYTON,1
GIRL,CLEIO,1
GIRL,CLEMENTINE,8
GIRL,CLIO,2
GIRL,CLOVER,2
GIRL,CODI,1
GIRL,CODY,1
GIRL,COLBY,1
GIRL,COLETTE,6
GIRL,COLLINS,3
GIRL,COLLYN,1
GIRL,COLLYNS,1
GIRL,EDITH,3
GIRL,CONTESSINA,1
GIRL,COOPER,2
GIRL,CORA,28
GIRL,CORALINA,1
GIRL,CORALINE,4
GIRL,CORALYNN,1
GIRL,CORBIN,1
GIRL,CORDELIA,1
GIRL,CORENA,1
GIRL,CORI,1
GIRL,CORINNA,1
GIRL,CORINNE,1
GIRL,COSIMA,1
GIRL,COURINNE,1
GIRL,CREE,1
GIRL,CRISELDA,1
GIRL,CRISMELY,1
GIRL,CRISTAL,1
GIRL,CRISTINA,2
GIRL,CRISTY,1
GIRL,CROSBY,1
GIRL,CRYSTAL,2
GIRL,CURSCILLA,1
GIRL,CUVIE,1
GIRL,CYLEE,1
GIRL,CYNTHIA,5
GIRL,CYRIAH,1
GIRL,DACILA,1
GIRL,DAELANEE,1
GIRL,DAGNY,1
GIRL,DAHLIA,4
GIRL,DAHLIANNA,1
GIRL,DAIANA,1
GIRL,DAILANY,1
GIRL,DAILENY,1
GIRL,DAILY,1
GIRL,DAILYN,1
GIRL,DAILYNN,1
GIRL,D'AIRESS,1
GIRL,DAISY,17
GIRL,DAKOTA,3
GIRL,DALARY,1
GIRL,DA'LAYLAH,1
GIRL,DALEYSA,1
GIRL,DALEYZA,4
GIRL,DALIA,1
GIRL,DALIAH,1
GIRL,DALILAH,1
GIRL,DA'LIYAH,1
GIRL,DALYLA,1
GIRL,DALYN,1
GIRL,DA'MARIA,1
GIRL,DA'MYA,1
GIRL,DANA,2
GIRL,DANAE,1
GIRL,DANESIA,1
GIRL,DANETCY YERALDINE,1
GIRL,DANI,1
GIRL,DANIA,2
GIRL,DANIELA,9
GIRL,DANIELLA,3
GIRL,DANIELLE,1
GIRL,DANITZA,1
GIRL,DA'NIYAH,1
GIRL,DANNA,10
GIRL,DANNELI,1
GIRL,DANNETTE,1
GIRL,DANNEY,1
GIRL,DANNIELLE,1
GIRL,DANYELLA,1
GIRL,DAPHNE,3
GIRL,DAPHNIE,1
GIRL,DARA,2
GIRL,DARBY,1
GIRL,DARIA,2
GIRL,DARIANA,1
GIRL,DARIELA,2
GIRL,DARLA,1
GIRL,DARLETH,1
GIRL,DASHA,1
GIRL,DAVAEHA,1
GIRL,DAVIS,1
GIRL,DAWN,2
GIRL,DAYA,1
GIRL,DAYAMI,1
GIRL,DAYANA,5
GIRL,DAYANNA,2
GIRL,DAYELIN,1
GIRL,DAYIZ,1
GIRL,DAYLI,1
GIRL,DAYNA,1
GIRL,DAYSI,1
GIRL,DAZIRE,1
GIRL,DEBORAH,2
GIRL,DEBRA,1
GIRL,DEELIAH,1
GIRL,DEETHYA,1
GIRL,DEEYA SHRI,1
GIRL,DEIA,1
GIRL,DEJA,1
GIRL,DEJA'NAE,1
GIRL,DELANEY,2
GIRL,DELANY,1
GIRL,DELEIA,1
GIRL,DE'LEIAH,1
GIRL,DE'LEIYA,1
GIRL,DELIA,1
GIRL,DELICIA,1
GIRL,DELILAH,14
GIRL,DELINA,1
GIRL,DELMY,1
GIRL,DELPHINE,2
GIRL,DELYLAH,1
GIRL,DEMI,2
GIRL,DEMIYAH,1
GIRL,DENAHLY,1
GIRL,DENALI,1
GIRL,DENIA,1
GIRL,DENISE,1
GIRL,DENISSE,2
GIRL,DENNISE,1
GIRL,DEONDRIA,1
GIRL,DEOR,1
GIRL,DERRIANE,1
GIRL,DESI,1
GIRL,DESLYNN,1
GIRL,DESTANY,1
GIRL,DESTINEE,1
GIRL,DESTINY,9
GIRL,DEVANEY,1
GIRL,DEVENY SENA,1
GIRL,DEVESHI,1
GIRL,DEVI,1
GIRL,DEVIN,1
GIRL,DEVIRA-LYELLE,1
GIRL,DEVNA,1
GIRL,DEVON,3
GIRL,DEYANIRA,1
GIRL,DHARSHANA,1
GIRL,DHRITI,1
GIRL,DHRIYA,1
GIRL,DIAMOND,1
GIRL,DIANA,9
GIRL,DIANNA,1
GIRL,DIEM,1
GIRL,DILCIA,1
GIRL,DILLYN,1
GIRL,DI'MOND,1
GIRL,DIONNA,1
GIRL,DITI,1
GIRL,DIYA,4
GIRL,D'LANIE,1
GIRL,D'LAUREN,1
GIRL,D'LAYLA,1
GIRL,DOLLY,2
GIRL,DOLORES,1
GIRL,DONIA,1
GIRL,DORAH,1
GIRL,DORIE,1
GIRL,DOROTHEA,2
GIRL,DOROTHY,3
GIRL,DREW,2
GIRL,DRU,1
GIRL,DULCE,2
GIRL,DULCELUNA,1
GIRL,DUNEA,1
GIRL,DYLAN,10
GIRL,DYNAH,1
GIRL,DYNALI,1
GIRL,DYXY,1
GIRL,EBANGHA,1
GIRL,EBENEZER,1
GIRL,ECHO,1
GIRL,EDALYN,1
GIRL,EDEN,9
GIRL,EDEN ASSENGONE,1
GIRL,EDIE,1
GIRL,EERIEMOON,1
GIRL,EFFIE,2
GIRL,EILEEN,7
GIRL,EILIM,1
GIRL,EIMMY,1
GIRL,EIMY,2
GIRL,EISLEY,4
GIRL,ELA,1
GIRL,ELAINA,6
GIRL,ELAINE,2
GIRL,ELANA,1
GIRL,ELAND,1
GIRL,ELANIE,1
GIRL,ELARA,1
GIRL,ELAYNA,2
GIRL,ELDANA,1
GIRL,ELEA SAGE,1
GIRL,ELEANA,1
GIRL,ELEANOR,39
GIRL,ELEANOR ROUX,1
GIRL,ELEANORA,2
GIRL,ELEANORE,1
GIRL,ELENA,36
